"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"47037","0","10","70","0","2024","1","",35537,542951,547973,550528,11694333445,2931047667,26127728,1644,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2728,8.3,6404,1.2,7737,1.4,8847,1.6,604485812,5.5,69646644,2.4,1170390,4.7,63,4.0
"47037","1","10","71","0","2024","1","",92,9056,9088,9094,227145366,0,0,1924,"",0.51,0.86,0.85,0.85,0.78,0.00,0.00,0.91,"",0,0.0,539,6.3,483,5.6,455,5.3,21812337,10.6,0,0.0,0,0.0,85,4.6
"47037","1","102","72","0","2024","1","",92,9056,9088,9094,227145366,0,0,1924,"",0.51,0.87,0.87,0.87,0.79,0.00,0.00,0.91,"",0,0.0,539,6.3,483,5.6,455,5.3,21812337,10.6,0,0.0,0,0.0,85,4.6
"47037","1","1021","73","0","2024","1","",32,2315,2354,2343,50521892,0,0,1663,"",0.36,0.97,0.98,0.97,1.02,0.00,0.00,1.05,"",0,0.0,33,1.4,45,1.9,-6,-0.3,2488905,5.2,0,0.0,0,0.0,66,4.1
"47037","1","1023","73","0","2024","1","",3,82,82,84,2477247,0,0,2305,"",1.24,1.80,1.80,1.83,1.33,0.00,0.00,0.74,"",0,0.0,10,13.9,12,17.1,13,18.3,374090,17.8,0,0.0,0,0.0,26,1.1
"47037","1","1024","73","0","2024","1","",3,428,427,426,9414328,0,0,1696,"",0.67,1.67,1.66,1.65,1.35,0.00,0.00,0.81,"",0,0.0,37,9.5,33,8.4,28,7.0,1000010,11.9,0,0.0,0,0.0,55,3.4
"47037","1","1025","73","0","2024","1","",3,2694,2688,2685,84089197,0,0,2406,"",0.70,1.65,1.63,1.63,1.69,0.00,0.00,1.03,"",0,0.0,313,13.1,275,11.4,275,11.4,12568074,17.6,0,0.0,0,0.0,115,5.0
"47037","1","1027","73","0","2024","1","",1,1,1,1,16094,0,0,1238,"",2.05,0.06,0.06,0.06,0.05,0.00,0.00,0.87,"",0,0.0,-2,-66.7,-2,-66.7,-1,-50.0,-41537,-72.1,0,0.0,0,0.0,-424,-25.5
"47037","1","1028","73","0","2024","1","",50,3536,3536,3555,80626608,0,0,1751,"",0.68,0.60,0.60,0.60,0.46,0.00,0.00,0.77,"",0,0.0,148,4.4,120,3.5,146,4.3,5422795,7.2,0,0.0,0,0.0,52,3.1
"47037","1","22","74","0","2024","1","",3,248,253,257,8134615,0,0,2477,"",4.87,5.74,5.80,5.89,4.88,0.00,0.00,0.84,"",0,0.0,44,21.6,39,18.2,39,17.9,1372693,20.3,0,0.0,0,0.0,23,0.9
