label_grouping,santa_clara_county_californiahouseholdsestimate,santa_clara_county_californiahouseholdsmargin_of_error,santa_clara_county_californiafamiliesestimate,santa_clara_county_californiafamiliesmargin_of_error,santa_clara_county_californiamarriedcouple_familiesestimate,santa_clara_county_californiamarriedcouple_familiesmargin_of_error,santa_clara_county_californianonfamily_householdsestimate,santa_clara_county_californianonfamily_householdsmargin_of_error,montgomery_county_marylandhouseholdsestimate,montgomery_county_marylandhouseholdsmargin_of_error,montgomery_county_marylandfamiliesestimate,montgomery_county_marylandfamiliesmargin_of_error,montgomery_county_marylandmarriedcouple_familiesestimate,montgomery_county_marylandmarriedcouple_familiesmargin_of_error,montgomery_county_marylandnonfamily_householdsestimate,montgomery_county_marylandnonfamily_householdsmargin_of_error,wake_county_north_carolinahouseholdsestimate,wake_county_north_carolinahouseholdsmargin_of_error,wake_county_north_carolinafamiliesestimate,wake_county_north_carolinafamiliesmargin_of_error,wake_county_north_carolinamarriedcouple_familiesestimate,wake_county_north_carolinamarriedcouple_familiesmargin_of_error,wake_county_north_carolinanonfamily_householdsestimate,wake_county_north_carolinanonfamily_householdsmargin_of_error,davidson_county_tennesseehouseholdsestimate,davidson_county_tennesseehouseholdsmargin_of_error,davidson_county_tennesseefamiliesestimate,davidson_county_tennesseefamiliesmargin_of_error,davidson_county_tennesseemarriedcouple_familiesestimate,davidson_county_tennesseemarriedcouple_familiesmargin_of_error,davidson_county_tennesseenonfamily_householdsestimate,davidson_county_tennesseenonfamily_householdsmargin_of_error,dallas_county_texashouseholdsestimate,dallas_county_texashouseholdsmargin_of_error,dallas_county_texasfamiliesestimate,dallas_county_texasfamiliesmargin_of_error,dallas_county_texasmarriedcouple_familiesestimate,dallas_county_texasmarriedcouple_familiesmargin_of_error,dallas_county_texasnonfamily_householdsestimate,dallas_county_texasnonfamily_householdsmargin_of_error,fairfax_county_virginiahouseholdsestimate,fairfax_county_virginiahouseholdsmargin_of_error,fairfax_county_virginiafamiliesestimate,fairfax_county_virginiafamiliesmargin_of_error,fairfax_county_virginiamarriedcouple_familiesestimate,fairfax_county_virginiamarriedcouple_familiesmargin_of_error,fairfax_county_virginianonfamily_householdsestimate,fairfax_county_virginianonfamily_householdsmargin_of_error,loudoun_county_virginiahouseholdsestimate,loudoun_county_virginiahouseholdsmargin_of_error,loudoun_county_virginiafamiliesestimate,loudoun_county_virginiafamiliesmargin_of_error,loudoun_county_virginiamarriedcouple_familiesestimate,loudoun_county_virginiamarriedcouple_familiesmargin_of_error,loudoun_county_virginianonfamily_householdsestimate,loudoun_county_virginianonfamily_householdsmargin_of_error,data_type
Total,"633,786","±3,221","456,166","±4,728","360,426","±5,581","177,620","±4,786","371,458","±2,800","257,474","±4,230","198,884","±4,107","113,984","±3,954","382,638","±3,461","259,646","±5,524","200,292","±5,707","122,992","±5,456","274,187","±3,026","154,555","±3,849","104,502","±4,226","119,632","±4,492","905,250","±4,540","590,480","±6,861","392,021","±6,757","314,770","±7,264","392,822","±2,616","277,304","±4,404","225,749","±5,002","115,518","±4,655","120,559","±1,405","93,533","±2,397","79,704","±2,874","27,026","±2,252",2015_household_income
"Less than $10,000",3.6%,±0.4,2.4%,±0.4,0.9%,±0.2,8.4%,±1.1,3.9%,±0.6,2.3%,±0.6,0.9%,±0.3,8.5%,±1.5,4.3%,±0.5,2.6%,±0.5,1.0%,±0.3,8.5%,±1.4,7.0%,±0.8,4.3%,±0.8,1.5%,±0.6,11.0%,±1.7,6.5%,±0.4,4.6%,±0.5,1.8%,±0.3,11.5%,±0.9,2.6%,±0.4,1.6%,±0.4,0.7%,±0.3,5.9%,±1.2,1.8%,±0.7,0.5%,±0.3,0.3%,±0.2,6.3%,±2.6,2015_household_income
"$10,000 to $14,999",2.9%,±0.3,1.4%,±0.3,0.9%,±0.2,6.8%,±0.9,1.5%,±0.3,1.0%,±0.3,0.5%,±0.2,2.9%,±0.7,3.2%,±0.5,2.4%,±0.6,0.6%,±0.3,5.8%,±1.1,5.2%,±0.8,3.6%,±0.9,1.7%,±0.6,7.6%,±1.4,4.9%,±0.3,3.5%,±0.4,1.7%,±0.3,8.0%,±0.7,1.7%,±0.4,1.4%,±0.4,0.6%,±0.2,3.0%,±0.9,1.0%,±0.4,0.4%,±0.3,0.2%,±0.3,3.1%,±1.6,2015_household_income
"$15,000 to $24,999",5.1%,±0.4,3.9%,±0.5,2.5%,±0.5,9.3%,±0.9,4.2%,±0.5,3.3%,±0.7,1.8%,±0.5,7.6%,±1.2,6.8%,±0.7,5.4%,±0.8,2.8%,±0.6,10.0%,±1.7,10.1%,±0.8,8.9%,±1.2,5.0%,±1.1,12.8%,±1.4,11.1%,±0.6,10.3%,±0.7,7.6%,±0.7,12.9%,±1.1,2.9%,±0.4,2.1%,±0.4,1.1%,±0.3,6.0%,±1.1,2.9%,±0.9,2.3%,±0.8,1.5%,±0.8,5.4%,±2.7,2015_household_income
"$25,000 to $34,999",5.5%,±0.5,4.8%,±0.5,3.5%,±0.5,7.8%,±1.0,5.9%,±0.7,4.4%,±0.7,2.9%,±0.7,9.9%,±1.4,8.7%,±0.9,6.6%,±0.9,4.4%,±0.8,13.9%,±1.9,10.8%,±0.9,9.9%,±1.3,7.7%,±1.3,12.5%,±1.6,10.6%,±0.5,10.9%,±0.7,8.0%,±0.7,11.1%,±0.7,3.9%,±0.5,3.4%,±0.6,2.1%,±0.5,5.4%,±1.0,2.9%,±0.8,2.2%,±0.8,1.5%,±0.6,6.1%,±2.5,2015_household_income
"$35,000 to $49,999",7.8%,±0.6,7.4%,±0.7,6.0%,±0.7,9.5%,±1.1,9.5%,±0.7,8.4%,±0.9,6.5%,±0.9,11.6%,±1.2,12.2%,±0.9,9.8%,±1.1,7.8%,±1.0,18.4%,±1.9,14.7%,±1.1,14.2%,±1.6,12.1%,±1.8,15.8%,±1.7,14.7%,±0.7,14.2%,±0.9,12.5%,±1.0,15.4%,±1.0,6.4%,±0.6,5.7%,±0.8,4.1%,±0.6,8.5%,±1.3,6.0%,±1.3,4.5%,±1.1,4.0%,±1.2,11.6%,±3.4,2015_household_income
"$50,000 to $74,999",12.2%,±0.6,11.7%,±0.7,10.3%,±0.8,13.1%,±1.3,13.6%,±0.9,12.0%,±1.0,9.8%,±1.1,18.3%,±1.6,18.0%,±1.0,16.5%,±1.2,16.5%,±1.3,20.1%,±2.0,19.5%,±1.2,19.2%,±1.6,19.7%,±2.0,19.4%,±1.8,18.3%,±0.5,17.8%,±0.7,18.3%,±0.9,18.0%,±1.0,12.4%,±0.8,10.2%,±0.9,8.9%,±1.0,17.4%,±1.6,11.2%,±1.2,8.5%,±1.4,6.8%,±1.3,21.7%,±3.8,2015_household_income
"$75,000 to $99,999",10.8%,±0.5,10.8%,±0.6,10.3%,±0.7,10.4%,±1.1,11.8%,±0.8,10.6%,±1.0,10.0%,±1.1,13.4%,±1.5,13.4%,±0.9,14.1%,±1.1,14.9%,±1.3,10.3%,±1.5,12.0%,±1.2,12.7%,±1.5,15.4%,±2.0,10.3%,±1.6,11.7%,±0.6,12.3%,±0.7,14.2%,±1.0,9.8%,±0.9,12.6%,±0.7,11.5%,±0.8,10.8%,±1.0,15.6%,±1.6,11.9%,±1.5,11.0%,±1.6,10.2%,±1.8,15.0%,±4.2,2015_household_income
"$100,000 to $149,999",17.8%,±0.7,18.5%,±0.8,19.6%,±0.9,15.1%,±1.2,18.3%,±1.0,19.8%,±1.2,21.1%,±1.3,14.7%,±1.6,17.9%,±0.9,22.5%,±1.2,26.6%,±1.4,7.8%,±1.2,11.0%,±0.8,13.9%,±1.3,18.4%,±1.8,6.3%,±1.1,11.3%,±0.5,12.9%,±0.7,17.0%,±1.0,7.2%,±0.8,22.5%,±1.0,22.0%,±1.1,23.1%,±1.2,22.0%,±1.9,22.8%,±1.9,23.7%,±2.1,23.2%,±2.3,18.3%,±2.9,2015_household_income
"$150,000 to $199,999",13.4%,±0.7,14.6%,±0.7,16.4%,±0.9,9.3%,±1.4,12.4%,±0.8,14.7%,±0.9,17.2%,±1.2,6.5%,±1.0,7.5%,±0.6,9.6%,±0.8,12.3%,±1.0,2.5%,±0.7,4.1%,±0.6,5.3%,±0.9,6.9%,±1.2,2.4%,±0.9,5.0%,±0.3,5.9%,±0.4,8.2%,±0.6,3.0%,±0.4,14.1%,±0.8,16.0%,±0.9,18.1%,±1.1,8.8%,±1.2,15.1%,±1.6,17.4%,±1.8,19.3%,±2.1,6.4%,±2.3,2015_household_income
"$200,000 or more",21.0%,±0.6,24.6%,±0.8,29.7%,±0.9,10.5%,±1.1,18.9%,±0.8,23.6%,±1.0,29.1%,±1.2,6.6%,±1.1,8.0%,±0.6,10.5%,±0.8,13.1%,±1.0,2.7%,±0.9,5.5%,±0.7,8.1%,±1.0,11.5%,±1.4,1.9%,±0.6,6.0%,±0.3,7.5%,±0.4,10.8%,±0.6,3.0%,±0.4,20.8%,±0.8,25.9%,±1.0,30.5%,±1.2,7.3%,±1.2,24.4%,±1.7,29.4%,±2.0,33.0%,±2.2,6.0%,±1.9,2015_household_income
Median income (dollars),"102,340","±1,449","118,814","±3,008","137,928","±3,799","65,113","±4,461","98,917","±2,749","118,567","±2,952","140,111","±3,848","60,688","±2,023","70,533","±1,200","85,729","±2,690","102,607","±2,715","44,243","±2,399","52,026","±1,366","61,990","±2,512","79,051","±4,119","40,351","±1,638","51,799",±630,"58,236","±1,698","75,097","±1,737","40,926",±957,"113,208","±2,765","129,538","±3,346","146,217","±2,449","80,725","±2,136","125,003","±4,693","141,487","±4,242","154,796","±6,304","67,330","±5,515",2015_household_income
Mean income (dollars),"137,393","±1,888","152,586","±2,541","171,683","±2,940","90,753","±2,972","134,527","±2,796","154,913","±3,768","177,840","±4,755","82,284","±4,315","92,777","±1,822","107,727","±2,596","124,261","±3,130","57,858","±2,631","74,479","±2,633","89,925","±3,989","110,684","±5,931","52,063","±2,409","79,087","±1,694","88,619","±2,485","110,229","±3,514","58,026","±2,258","143,542","±2,982","159,908","±3,801","177,210","±4,354","98,287","±4,702","149,899","±4,333","166,852","±5,511",N,N,"85,473","±6,921",2015_household_income
