label_grouping,santa_clara_county_californiahouseholdsestimate,santa_clara_county_californiahouseholdsmargin_of_error,santa_clara_county_californiafamiliesestimate,santa_clara_county_californiafamiliesmargin_of_error,santa_clara_county_californiamarriedcouple_familiesestimate,santa_clara_county_californiamarriedcouple_familiesmargin_of_error,santa_clara_county_californianonfamily_householdsestimate,santa_clara_county_californianonfamily_householdsmargin_of_error,montgomery_county_marylandhouseholdsestimate,montgomery_county_marylandhouseholdsmargin_of_error,montgomery_county_marylandfamiliesestimate,montgomery_county_marylandfamiliesmargin_of_error,montgomery_county_marylandmarriedcouple_familiesestimate,montgomery_county_marylandmarriedcouple_familiesmargin_of_error,montgomery_county_marylandnonfamily_householdsestimate,montgomery_county_marylandnonfamily_householdsmargin_of_error,wake_county_north_carolinahouseholdsestimate,wake_county_north_carolinahouseholdsmargin_of_error,wake_county_north_carolinafamiliesestimate,wake_county_north_carolinafamiliesmargin_of_error,wake_county_north_carolinamarriedcouple_familiesestimate,wake_county_north_carolinamarriedcouple_familiesmargin_of_error,wake_county_north_carolinanonfamily_householdsestimate,wake_county_north_carolinanonfamily_householdsmargin_of_error,davidson_county_tennesseehouseholdsestimate,davidson_county_tennesseehouseholdsmargin_of_error,davidson_county_tennesseefamiliesestimate,davidson_county_tennesseefamiliesmargin_of_error,davidson_county_tennesseemarriedcouple_familiesestimate,davidson_county_tennesseemarriedcouple_familiesmargin_of_error,davidson_county_tennesseenonfamily_householdsestimate,davidson_county_tennesseenonfamily_householdsmargin_of_error,dallas_county_texashouseholdsestimate,dallas_county_texashouseholdsmargin_of_error,dallas_county_texasfamiliesestimate,dallas_county_texasfamiliesmargin_of_error,dallas_county_texasmarriedcouple_familiesestimate,dallas_county_texasmarriedcouple_familiesmargin_of_error,dallas_county_texasnonfamily_householdsestimate,dallas_county_texasnonfamily_householdsmargin_of_error,fairfax_county_virginiahouseholdsestimate,fairfax_county_virginiahouseholdsmargin_of_error,fairfax_county_virginiafamiliesestimate,fairfax_county_virginiafamiliesmargin_of_error,fairfax_county_virginiamarriedcouple_familiesestimate,fairfax_county_virginiamarriedcouple_familiesmargin_of_error,fairfax_county_virginianonfamily_householdsestimate,fairfax_county_virginianonfamily_householdsmargin_of_error,loudoun_county_virginiahouseholdsestimate,loudoun_county_virginiahouseholdsmargin_of_error,loudoun_county_virginiafamiliesestimate,loudoun_county_virginiafamiliesmargin_of_error,loudoun_county_virginiamarriedcouple_familiesestimate,loudoun_county_virginiamarriedcouple_familiesmargin_of_error,loudoun_county_virginianonfamily_householdsestimate,loudoun_county_virginianonfamily_householdsmargin_of_error,data_type
Total,"635,314","±1,803","454,149","±3,012","360,029","±3,307","181,165","±2,616","372,825","±1,093","260,678","±2,175","203,331","±2,336","112,147","±2,132","410,552","±1,748","270,784","±2,728","211,269","±3,017","139,768","±2,921","289,191","±1,394","156,379","±2,462","107,588","±2,202","132,812","±2,489","945,996","±2,684","607,453","±4,275","410,965","±4,568","338,543","±4,024","398,653","±1,053","281,773","±1,943","230,661","±2,491","116,880","±1,996","132,565",±526,"103,902","±1,237","88,541","±1,430","28,663","±1,172",2020_household_income
"Less than $10,000",2.8%,±0.2,1.7%,±0.1,0.9%,±0.1,6.5%,±0.4,3.4%,±0.3,1.9%,±0.2,0.8%,±0.2,7.5%,±0.8,3.2%,±0.2,1.7%,±0.2,0.7%,±0.2,6.5%,±0.5,5.9%,±0.4,4.1%,±0.5,1.2%,±0.3,8.7%,±0.7,5.6%,±0.2,4.0%,±0.2,1.6%,±0.2,9.7%,±0.4,2.7%,±0.2,1.7%,±0.2,0.7%,±0.2,5.7%,±0.5,1.8%,±0.2,0.9%,±0.2,0.4%,±0.1,5.4%,±0.9,2020_household_income
"$10,000 to $14,999",2.3%,±0.1,1.1%,±0.1,0.7%,±0.1,5.6%,±0.4,1.8%,±0.2,0.8%,±0.1,0.6%,±0.1,4.0%,±0.4,2.3%,±0.2,1.4%,±0.2,0.7%,±0.2,4.4%,±0.6,3.4%,±0.3,2.0%,±0.3,0.9%,±0.3,5.2%,±0.5,3.5%,±0.2,2.3%,±0.2,1.2%,±0.2,5.9%,±0.4,1.2%,±0.1,0.8%,±0.1,0.6%,±0.1,2.4%,±0.3,0.9%,±0.2,0.6%,±0.2,0.4%,±0.2,2.3%,±0.6,2020_household_income
"$15,000 to $24,999",4.0%,±0.2,2.9%,±0.2,2.3%,±0.2,7.3%,±0.5,4.0%,±0.2,2.6%,±0.3,1.8%,±0.3,7.6%,±0.6,5.9%,±0.4,4.2%,±0.6,2.0%,±0.3,10.0%,±0.7,7.7%,±0.5,6.1%,±0.6,3.3%,±0.4,10.0%,±0.9,8.1%,±0.3,6.9%,±0.3,4.1%,±0.3,11.2%,±0.5,2.9%,±0.2,2.1%,±0.2,1.1%,±0.1,5.1%,±0.5,2.0%,±0.3,1.3%,±0.4,0.7%,±0.2,5.0%,±1.0,2020_household_income
"$25,000 to $34,999",4.0%,±0.2,3.2%,±0.2,2.1%,±0.1,6.7%,±0.5,4.8%,±0.3,3.9%,±0.3,2.5%,±0.3,7.5%,±0.6,6.8%,±0.4,4.7%,±0.3,3.1%,±0.4,11.0%,±0.9,8.9%,±0.4,7.4%,±0.6,5.2%,±0.6,11.2%,±0.8,9.4%,±0.3,8.8%,±0.3,6.4%,±0.3,11.1%,±0.5,3.7%,±0.3,3.1%,±0.3,2.2%,±0.2,5.7%,±0.5,2.9%,±0.4,2.3%,±0.4,1.4%,±0.3,5.7%,±1.3,2020_household_income
"$35,000 to $49,999",6.0%,±0.2,5.5%,±0.3,4.0%,±0.2,8.2%,±0.5,6.7%,±0.4,5.4%,±0.4,4.0%,±0.4,10.3%,±0.7,10.7%,±0.4,8.3%,±0.4,5.7%,±0.5,15.8%,±0.9,13.7%,±0.6,11.2%,±0.7,8.2%,±0.8,17.0%,±1.0,13.6%,±0.3,13.3%,±0.5,11.5%,±0.5,14.4%,±0.5,6.0%,±0.3,4.9%,±0.3,4.0%,±0.3,9.1%,±0.8,4.7%,±0.4,3.6%,±0.5,2.7%,±0.4,9.4%,±1.2,2020_household_income
"$50,000 to $74,999",10.1%,±0.3,9.4%,±0.3,7.6%,±0.3,12.3%,±0.6,12.5%,±0.5,10.9%,±0.6,8.8%,±0.6,16.8%,±1.0,16.1%,±0.5,13.5%,±0.7,11.8%,±0.6,21.3%,±1.2,19.2%,±0.6,18.0%,±0.7,17.2%,±0.9,20.5%,±1.0,18.8%,±0.4,18.2%,±0.5,17.0%,±0.6,19.8%,±0.6,10.7%,±0.3,8.6%,±0.4,7.2%,±0.4,16.4%,±0.8,9.4%,±0.5,7.5%,±0.6,6.0%,±0.7,18.0%,±1.7,2020_household_income
"$75,000 to $99,999",9.4%,±0.3,9.2%,±0.3,8.0%,±0.4,10.1%,±0.6,11.6%,±0.4,10.4%,±0.5,9.7%,±0.5,14.0%,±0.9,13.4%,±0.6,13.7%,±0.7,13.6%,±0.7,12.3%,±0.9,13.3%,±0.6,14.7%,±0.8,16.4%,±0.8,11.3%,±0.8,12.7%,±0.3,13.1%,±0.4,14.7%,±0.4,10.9%,±0.5,11.3%,±0.4,9.8%,±0.4,8.6%,±0.5,15.0%,±0.7,9.5%,±0.7,8.7%,±0.8,7.7%,±0.7,12.6%,±1.2,2020_household_income
"$100,000 to $149,999",17.5%,±0.4,17.6%,±0.4,17.4%,±0.5,16.9%,±0.7,19.2%,±0.5,19.7%,±0.7,19.6%,±0.8,17.2%,±0.9,18.9%,±0.6,22.1%,±0.7,25.2%,±0.8,11.6%,±0.8,14.9%,±0.6,18.4%,±0.8,23.2%,±1.1,9.7%,±0.7,14.4%,±0.3,16.2%,±0.4,20.0%,±0.6,9.8%,±0.5,20.0%,±0.5,19.1%,±0.6,19.2%,±0.6,21.2%,±1.0,19.7%,±0.9,19.0%,±1.0,18.5%,±1.1,21.9%,±1.7,2020_household_income
"$150,000 to $199,999",13.5%,±0.3,14.5%,±0.4,15.8%,±0.4,10.1%,±0.6,12.7%,±0.5,14.5%,±0.6,16.2%,±0.7,7.6%,±0.6,10.4%,±0.4,13.5%,±0.5,16.4%,±0.6,4.0%,±0.6,5.8%,±0.4,7.8%,±0.6,10.4%,±0.7,2.9%,±0.4,6.0%,±0.2,7.1%,±0.3,9.4%,±0.4,3.3%,±0.2,15.1%,±0.3,16.8%,±0.5,18.2%,±0.6,10.5%,±0.7,17.3%,±0.8,19.1%,±0.9,20.4%,±1.0,10.9%,±1.3,2020_household_income
