"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Total!!Margin of Error","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Male!!Margin of Error","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Female!!Margin of Error","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Total!!Margin of Error","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Male!!Margin of Error","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Female!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Male!!Margin of Error","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Female!!Margin of Error","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Total!!Margin of Error","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Male!!Margin of Error","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Female!!Margin of Error","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Total!!Margin of Error","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Male!!Margin of Error","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Female!!Margin of Error","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Total!!Margin of Error","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Male!!Margin of Error","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Female!!Margin of Error"
"Total population","1,918,044","*****","965,615","±649","952,429","±649","1,040,116","*****","501,379","±351","538,737","±351","1,024,198","*****","498,819","±367","525,379","±367","678,889","*****","326,415","±566","352,474","±566","2,553,385","*****","1,257,431","±275","1,295,954","±275","1,142,234","*****","565,709","±549","576,525","±549","375,629","*****","186,490","±127","189,139","±127"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Under 5 years","6.3%","±0.1","6.5%","±0.1","6.2%","±0.1","6.5%","±0.1","6.9%","±0.1","6.2%","±0.1","6.4%","±0.1","6.7%","±0.1","6.0%","±0.1","7.0%","±0.1","7.0%","±0.1","6.9%","±0.1","7.7%","±0.1","8.0%","±0.1","7.4%","±0.1","6.7%","±0.1","6.9%","±0.1","6.5%","±0.1","7.5%","±0.1","7.8%","±0.1","7.2%","±0.1"
"    5 to 9 years","6.4%","±0.2","6.7%","±0.3","6.0%","±0.3","6.5%","±0.3","7.0%","±0.5","6.1%","±0.4","7.1%","±0.3","7.3%","±0.5","6.9%","±0.5","6.3%","±0.4","6.7%","±0.5","6.0%","±0.5","7.8%","±0.2","8.0%","±0.3","7.6%","±0.3","6.9%","±0.3","7.2%","±0.4","6.7%","±0.4","8.7%","±0.5","9.1%","±0.7","8.3%","±0.7"
"    10 to 14 years","6.5%","±0.2","6.3%","±0.3","6.6%","±0.3","6.4%","±0.3","6.7%","±0.5","6.2%","±0.4","7.1%","±0.3","7.5%","±0.5","6.8%","±0.5","5.1%","±0.4","5.3%","±0.5","4.9%","±0.5","7.1%","±0.2","7.4%","±0.3","6.9%","±0.3","6.2%","±0.3","6.4%","±0.4","6.0%","±0.4","8.4%","±0.5","8.3%","±0.7","8.4%","±0.7"
"    15 to 19 years","6.0%","±0.1","6.0%","±0.1","5.9%","±0.1","6.1%","±0.1","6.5%","±0.1","5.7%","±0.1","6.9%","±0.1","7.2%","±0.1","6.7%","±0.1","5.7%","±0.1","6.1%","±0.2","5.3%","±0.2","6.7%","±0.1","6.9%","±0.1","6.4%","±0.1","6.3%","±0.1","6.6%","±0.1","6.1%","±0.1","6.8%","±0.2","7.2%","±0.4","6.4%","±0.3"
"    20 to 24 years","6.3%","±0.1","6.6%","±0.1","6.0%","±0.1","5.8%","±0.1","6.2%","±0.1","5.5%","±0.1","6.6%","±0.1","7.0%","±0.1","6.3%","±0.1","7.6%","±0.1","7.5%","±0.1","7.8%","±0.2","7.2%","±0.1","7.4%","±0.1","7.1%","±0.1","6.0%","±0.1","6.2%","±0.1","5.9%","±0.1","4.9%","±0.3","4.9%","±0.4","4.9%","±0.3"
"    25 to 29 years","7.5%","±0.1","7.8%","±0.1","7.1%","±0.1","6.3%","±0.1","6.4%","±0.1","6.1%","±0.1","7.3%","±0.1","7.4%","±0.1","7.3%","±0.1","10.3%","±0.1","10.1%","±0.1","10.4%","±0.1","8.2%","±0.1","8.3%","±0.1","8.1%","±0.1","6.5%","±0.1","6.8%","±0.1","6.3%","±0.1","5.1%","±0.2","4.9%","±0.2","5.3%","±0.3"
"    30 to 34 years","7.8%","±0.1","8.1%","±0.1","7.6%","±0.1","6.9%","±0.1","7.0%","±0.1","6.9%","±0.1","7.4%","±0.1","7.3%","±0.1","7.4%","±0.1","9.0%","±0.1","9.3%","±0.1","8.7%","±0.2","7.8%","±0.1","7.9%","±0.1","7.8%","±0.1","7.3%","±0.1","7.4%","±0.1","7.2%","±0.1","7.4%","±0.1","7.1%","±0.1","7.7%","±0.1"
"    35 to 39 years","7.2%","±0.3","7.3%","±0.3","7.1%","±0.3","7.1%","±0.3","7.0%","±0.5","7.1%","±0.3","8.0%","±0.4","7.8%","±0.5","8.1%","±0.4","7.4%","±0.4","7.5%","±0.6","7.3%","±0.5","7.3%","±0.2","7.3%","±0.3","7.3%","±0.3","7.6%","±0.3","7.6%","±0.5","7.6%","±0.4","8.3%","±0.5","7.5%","±0.7","9.1%","±0.7"
