"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Percent Female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Percent Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Percent Female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Percent Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Percent Female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Percent Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Percent Female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Percent Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Percent Female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Percent Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Percent Female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Percent Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","1,011,709","558,143","55.2%","453,566","44.8%","567,498","287,248","50.6%","280,250","49.4%","646,091","337,351","52.2%","308,740","47.8%","409,433","209,153","51.1%","200,280","48.9%","1,348,084","725,866","53.8%","622,218","46.2%","614,947","325,968","53.0%","288,979","47.0%","236,508","129,252","54.7%","107,256","45.3%"
"    Management, business, science, and arts occupations:","597,771","337,063","56.4%","260,708","43.6%","341,339","167,242","49.0%","174,097","51.0%","382,817","198,278","51.8%","184,539","48.2%","214,372","99,912","46.6%","114,460","53.4%","545,454","266,443","48.8%","279,011","51.2%","386,226","201,781","52.2%","184,445","47.8%","153,579","85,270","55.5%","68,309","44.5%"
"        Management, business, and financial occupations:","206,613","111,655","54.0%","94,958","46.0%","132,768","66,251","49.9%","66,517","50.1%","163,480","87,161","53.3%","76,319","46.7%","94,500","47,051","49.8%","47,449","50.2%","245,578","127,510","51.9%","118,068","48.1%","164,849","84,001","51.0%","80,848","49.0%","69,603","39,466","56.7%","30,137","43.3%"
"            Management occupations","141,992","84,040","59.2%","57,952","40.8%","79,547","40,306","50.7%","39,241","49.3%","106,445","62,508","58.7%","43,937","41.3%","59,885","31,856","53.2%","28,029","46.8%","140,029","79,062","56.5%","60,967","43.5%","97,233","52,487","54.0%","44,746","46.0%","46,185","28,068","60.8%","18,117","39.2%"
"            Business and financial operations occupations","64,621","27,615","42.7%","37,006","57.3%","53,221","25,945","48.7%","27,276","51.3%","57,035","24,653","43.2%","32,382","56.8%","34,615","15,195","43.9%","19,420","56.1%","105,549","48,448","45.9%","57,101","54.1%","67,616","31,514","46.6%","36,102","53.4%","23,418","11,398","48.7%","12,020","51.3%"
"        Computer, engineering, and science occupations:","246,259","176,586","71.7%","69,673","28.3%","89,450","57,308","64.1%","32,142","35.9%","104,955","74,944","71.4%","30,011","28.6%","30,229","21,308","70.5%","8,921","29.5%","95,923","73,534","76.7%","22,389","23.3%","105,473","77,090","73.1%","28,383","26.9%","47,836","34,912","73.0%","12,924","27.0%"
"            Computer and mathematical occupations","144,198","102,663","71.2%","41,535","28.8%","45,981","31,434","68.4%","14,547","31.6%","57,141","42,707","74.7%","14,434","25.3%","18,804","13,578","72.2%","5,226","27.8%","61,944","48,659","78.6%","13,285","21.4%","73,478","54,960","74.8%","18,518","25.2%","38,056","27,659","72.7%","10,397","27.3%"
"            Architecture and engineering occupations","80,862","63,236","78.2%","17,626","21.8%","13,166","10,183","77.3%","2,983","22.7%","27,760","21,917","79.0%","5,843","21.0%","6,443","5,176","80.3%","1,267","19.7%","23,923","19,695","82.3%","4,228","17.7%","21,413","16,611","77.6%","4,802","22.4%","7,638","6,005","78.6%","1,633","21.4%"
"            Life, physical, and social science occupations","21,199","10,687","50.4%","10,512","49.6%","30,303","15,691","51.8%","14,612","48.2%","20,054","10,320","51.5%","9,734","48.5%","4,982","2,554","51.3%","2,428","48.7%","10,056","5,180","51.5%","4,876","48.5%","10,582","5,519","52.2%","5,063","47.8%","2,142","1,248","58.3%","894","41.7%"
"        Education, legal, community service, arts, and media occupations:","97,203","33,617","34.6%","63,586","65.4%","88,547","35,958","40.6%","52,589","59.4%","73,147","25,576","35.0%","47,571","65.0%","59,148","24,159","40.8%","34,989","59.2%","137,547","48,831","35.5%","88,716","64.5%","85,288","32,527","38.1%","52,761","61.9%","27,363","8,583","31.4%","18,780","68.6%"
"            Community and social service occupations","11,669","3,931","33.7%","7,738","66.3%","10,112","3,187","31.5%","6,925","68.5%","9,881","3,712","37.6%","6,169","62.4%","5,464","1,858","34.0%","3,606","66.0%","16,444","4,951","30.1%","11,493","69.9%","6,554","2,229","34.0%","4,325","66.0%","3,008","1,057","35.1%","1,951","64.9%"
"            Legal occupations","8,996","3,813","42.4%","5,183","57.6%","19,276","11,134","57.8%","8,142","42.2%","9,009","3,510","39.0%","5,499","61.0%","8,230","3,916","47.6%","4,314","52.4%","21,807","11,049","50.7%","10,758","49.3%","20,606","12,232","59.4%","8,374","40.6%","1,728","958","55.4%","770","44.6%"
"            Educational instruction, and library occupations","54,545","16,000","29.3%","38,545","70.7%","39,379","11,219","28.5%","28,160","71.5%","36,832","10,727","29.1%","26,105","70.9%","25,483","6,998","27.5%","18,485","72.5%","73,393","19,100","26.0%","54,293","74.0%","34,772","8,796","25.3%","25,976","74.7%","17,567","4,853","27.6%","12,714","72.4%"
"            Arts, design, entertainment, sports, and media occupations","21,993","9,873","44.9%","12,120","55.1%","19,780","10,418","52.7%","9,362","47.3%","17,425","7,627","43.8%","9,798","56.2%","19,971","11,387","57.0%","8,584","43.0%","25,903","13,731","53.0%","12,172","47.0%","23,356","9,270","39.7%","14,086","60.3%","5,060","1,715","33.9%","3,345","66.1%"
"        Healthcare practitioners and technical occupations:","47,696","15,205","31.9%","32,491","68.1%","30,574","7,725","25.3%","22,849","74.7%","41,235","10,597","25.7%","30,638","74.3%","30,495","7,394","24.2%","23,101","75.8%","66,406","16,568","24.9%","49,838","75.1%","30,616","8,163","26.7%","22,453","73.3%","8,777","2,309","26.3%","6,468","73.7%"
"            Health diagnosing and treating practitioners and other technical occupations","34,408","10,319","30.0%","24,089","70.0%","24,519","5,891","24.0%","18,628","76.0%","30,024","7,939","26.4%","22,085","73.6%","24,240","6,906","28.5%","17,334","71.5%","46,064","11,538","25.0%","34,526","75.0%","23,693","6,223","26.3%","17,470","73.7%","5,732","1,250","21.8%","4,482","78.2%"
"            Health technologists and technicians","13,288","4,886","36.8%","8,402","63.2%","6,055","1,834","30.3%","4,221","69.7%","11,211","2,658","23.7%","8,553","76.3%","6,255","488","7.8%","5,767","92.2%","20,342","5,030","24.7%","15,312","75.3%","6,923","1,940","28.0%","4,983","72.0%","3,045","1,059","34.8%","1,986","65.2%"
"    Service occupations:","137,955","57,722","41.8%","80,233","58.2%","80,400","28,895","35.9%","51,505","64.1%","73,915","31,792","43.0%","42,123","57.0%","56,465","22,722","40.2%","33,743","59.8%","197,941","81,932","41.4%","116,009","58.6%","77,647","34,076","43.9%","43,571","56.1%","25,099","9,738","38.8%","15,361","61.2%"
