"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Median earnings (dollars)!!Estimate","Santa Clara County, California!!Median earnings (dollars) for male!!Estimate","Santa Clara County, California!!Median earnings (dollars) for female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Median earnings (dollars)!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for male!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Median earnings (dollars)!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for male!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Median earnings (dollars)!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for male!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Median earnings (dollars)!!Estimate","Dallas County, Texas!!Median earnings (dollars) for male!!Estimate","Dallas County, Texas!!Median earnings (dollars) for female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Median earnings (dollars)!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for male!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Median earnings (dollars)!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for male!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for female!!Estimate"
"Civilian employed population 16 years and over","834,009","55.3%","44.7%","47,284","56,137","40,341","523,864","51.3%","48.7%","48,289","56,201","40,849","448,710","52.9%","47.1%","37,363","44,269","32,211","303,923","51.3%","48.7%","30,333","31,828","27,291","1,107,409","54.7%","45.3%","30,349","31,642","27,335","582,131","53.3%","46.7%","52,626","65,024","45,389","169,495","53.6%","46.4%","58,059","79,292","42,929"
"Management, business, science, and arts occupations:","420,630","56.7%","43.3%","81,420","99,045","64,600","291,351","50.7%","49.3%","75,777","91,444","62,085","220,354","50.4%","49.6%","54,180","67,763","44,639","113,936","47.0%","53.0%","46,176","52,657","41,712","360,413","47.3%","52.7%","51,824","61,423","46,719","319,193","54.0%","46.0%","82,816","100,890","68,152","95,320","54.5%","45.5%","81,377","102,242","60,917"
"    Management, business, and financial occupations:","162,960","55.0%","45.0%","88,134","101,985","70,255","111,924","53.4%","46.6%","81,776","98,769","69,663","86,935","55.3%","44.7%","60,996","71,205","51,765","41,248","52.3%","47.7%","53,036","60,998","46,911","156,591","50.3%","49.7%","56,671","65,778","50,688","140,171","55.5%","44.5%","91,143","107,126","76,047","44,427","58.6%","41.4%","97,171","111,621","67,531"
"        Management occupations","109,687","61.6%","38.4%","100,427","111,920","78,924","72,606","57.4%","42.6%","91,904","102,519","76,423","58,091","61.0%","39.0%","69,117","79,571","59,159","26,506","57.0%","43.0%","60,955","66,060","53,735","91,165","56.7%","43.3%","61,434","68,298","54,180","89,303","59.8%","40.2%","101,064","116,319","81,272","28,539","65.2%","34.8%","101,966","115,078","72,342"
"        Business and financial operations occupations","53,273","41.4%","58.6%","68,967","88,185","60,581","39,318","46.1%","53.9%","68,581","73,930","65,848","28,844","43.8%","56.2%","50,924","55,980","45,676","14,742","43.9%","56.1%","45,196","50,632","41,444","65,426","41.2%","58.8%","52,073","61,686","47,130","50,868","48.0%","52.0%","77,133","91,987","67,042","15,888","46.8%","53.2%","78,162","105,475","61,629"
"    Computer, engineering, and science occupations:","138,899","77.0%","23.0%","96,717","101,041","80,272","63,595","67.7%","32.3%","85,622","91,686","76,323","47,702","73.4%","26.6%","72,762","76,987","58,140","14,540","70.7%","29.3%","53,744","57,266","50,842","52,779","72.5%","27.5%","63,706","70,003","55,250","80,328","74.0%","26.0%","96,789","100,533","91,078","25,798","74.4%","25.6%","100,636","101,884","91,816"
"        Computer and mathematical occupations","75,272","76.5%","23.5%","100,434","101,876","85,427","30,770","70.3%","29.7%","87,220","89,038","83,821","27,180","75.5%","24.5%","77,063","81,290","69,153","8,323","72.9%","27.1%","59,534","63,384","55,948","30,952","72.5%","27.5%","68,901","72,847","56,277","56,250","71.7%","28.3%","94,143","96,355","91,763","18,459","73.7%","26.3%","102,026","104,123","99,383"
"        Architecture and engineering occupations","51,228","83.0%","17.0%","97,956","100,858","75,951","12,897","80.4%","19.6%","88,049","94,108","68,271","11,469","84.1%","15.9%","70,621","78,469","54,730","3,408","91.0%","9.0%","54,861","60,059","41,120","17,071","79.5%","20.5%","59,595","63,966","49,606","15,051","81.5%","18.5%","100,620","106,034","81,175","5,733","85.2%","14.8%","94,036","99,261","66,952"
"        Life, physical, and social science occupations","12,399","55.1%","44.9%","64,275","72,042","58,955","19,928","55.4%","44.6%","82,163","95,883","65,663","9,053","53.6%","46.4%","54,078","58,612","52,611","2,809","39.8%","60.2%","45,594","46,748","42,301","4,756","47.8%","52.2%","52,309","55,727","51,202","9,027","75.1%","24.9%","102,136","110,236","97,021","1,606","44.0%","56.0%","80,112","100,935","60,882"
"    Education, legal, community service, arts, and media occupations:","82,427","37.6%","62.4%","45,967","55,347","41,656","82,828","41.4%","58.6%","57,744","76,894","50,241","58,287","36.0%","64.0%","37,303","46,818","32,539","37,720","45.1%","54.9%","32,823","37,952","29,434","107,475","37.8%","62.2%","44,415","50,033","41,333","75,650","37.9%","62.1%","58,438","72,402","51,284","18,470","31.7%","68.3%","50,840","71,132","40,984"
