"Label (Grouping)","Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate"
"HOUSING OCCUPANCY","","","","","","",""
"    Total housing units","703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
"        Occupied housing units","665,549","392,629","481,294","341,597","993,312","414,946","145,601"
"        Vacant housing units","38,373","14,089","30,962","30,696","85,730","16,060","3,637"
"        Homeowner vacancy rate","0.5","0.3","0.4","1.8","0.8","0.4","0.0"
"        Rental vacancy rate","4.8","2.9","7.4","6.5","9.7","4.2","4.0"
"UNITS IN STRUCTURE","","","","","","",""
"    Total housing units","703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
"        1-unit, detached","354,857","191,194","301,116","180,319","551,541","194,451","74,767"
"        1-unit, attached","75,341","71,518","62,046","36,614","41,008","96,542","47,315"
"        2 units","9,437","3,456","4,802","15,177","13,287","3,135","1,343"
"        3 or 4 units","37,027","5,308","11,474","10,758","49,000","5,613","1,126"
"        5 to 9 units","35,605","20,104","21,854","19,625","76,641","21,110","4,565"
"        10 to 19 units","34,759","29,373","29,977","29,915","85,513","39,896","8,758"
"        20 or more units","137,967","84,650","68,189","73,688","244,401","67,811","10,439"
"        Mobile home","17,619","1,115","12,685","5,555","17,259","2,191","925"
"        Boat, RV, van, etc.","1,310","0","113","642","392","257","0"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Total housing units","703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
"        Built 2020 or later","13,847","8,365","35,265","30,537","33,438","7,714","6,463"
"        Built 2010 to 2019","69,081","37,972","110,920","59,459","146,030","34,140","34,786"
"        Built 2000 to 2009","64,816","42,498","127,262","49,150","137,671","46,469","47,595"
"        Built 1990 to 1999","63,415","40,693","85,448","34,292","107,939","58,076","28,431"
"        Built 1980 to 1989","79,551","81,004","66,406","51,396","178,173","97,311","13,255"
