"Label (Grouping)","Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate"
"HOUSING OCCUPANCY","","","","","","",""
"    Total housing units","660,622","389,030","411,470","298,808","985,429","412,082","126,508"
"        Occupied housing units","633,786","371,458","382,638","274,187","905,250","392,822","120,559"
"        Vacant housing units","26,836","17,572","28,832","24,621","80,179","19,260","5,949"
"    Homeowner vacancy rate","0.3","0.8","1.4","1.5","1.5","1.3","1.3"
"    Rental vacancy rate","2.8","3.3","4.9","5.1","6.7","3.7","6.1"
"UNITS IN STRUCTURE","","","","","","",""
"    Total housing units","660,622","389,030","411,470","298,808","985,429","412,082","126,508"
"        1-unit, detached","344,320","183,624","247,182","157,105","535,130","192,677","67,642"
"        1-unit, attached","68,877","70,920","40,001","18,516","37,160","92,516","35,497"
"        2 units","12,342","1,702","5,877","17,409","14,752","2,415","582"
"        3 or 4 units","36,548","6,325","12,382","11,484","38,803","7,116","1,659"
"        5 to 9 units","36,676","20,646","23,044","20,189","89,248","20,117","4,415"
"        10 to 19 units","34,212","39,053","34,120","32,195","101,339","45,875","10,534"
"        20 or more units","107,946","66,255","34,126","37,386","152,966","48,982","5,021"
"        Mobile home","19,233","505","14,315","4,278","15,389","2,300","843"
"        Boat, RV, van, etc.","468","0","423","246","642","84","315"
"YEAR STRUCTURE BUILT","","","","","","",""
"    Total housing units","660,622","389,030","411,470","298,808","985,429","412,082","126,508"
"        Built 2014 or later","4,593","2,052","5,663","2,285","8,321","1,325","2,350"
"        Built 2010 to 2013","16,903","11,036","25,623","8,790","31,065","8,765","12,283"
"        Built 2000 to 2009","59,887","42,804","118,048","45,828","132,536","44,774","41,149"
"        Built 1990 to 1999","72,811","44,856","99,411","35,319","126,302","65,018","34,186"
"        Built 1980 to 1989","82,075","86,534","65,876","46,829","188,496","99,342","15,783"
"        Built 1970 to 1979","144,314","64,331","41,105","49,325","184,077","85,782","9,296"
"        Built 1960 to 1969","121,400","57,650","26,166","40,301","129,937","55,426","4,223"
"        Built 1950 to 1959","99,142","45,195","15,001","35,214","113,287","39,777","3,528"
"        Built 1940 to 1949","26,078","17,468","5,790","15,637","36,003","8,268","450"
"        Built 1939 or earlier","33,419","17,104","8,787","19,280","35,405","3,605","3,260"
"ROOMS","","","","","","",""
"    Total housing units","660,622","389,030","411,470","298,808","985,429","412,082","126,508"
"        1 room","23,399","7,604","5,011","6,889","25,563","5,346","908"
"        2 rooms","32,228","12,297","12,654","8,240","48,990","12,252","1,272"
"        3 rooms","77,792","32,696","31,739","31,085","143,707","36,263","6,437"
"        4 rooms","123,943","58,451","58,991","60,994","176,828","53,336","10,445"
"        5 rooms","110,958","45,320","71,135","59,339","184,608","44,186","14,104"
"        6 rooms","114,279","41,242","61,841","48,345","166,280","46,762","20,091"
"        7 rooms","77,225","44,100","50,986","34,782","98,645","48,365","14,012"
"        8 rooms","51,630","42,869","40,765","18,679","61,966","46,084","12,867"
"        9 rooms or more","49,168","104,451","78,348","30,455","78,842","119,488","46,372"
"        Median rooms","5.2","6.4","5.9","5.2","5.0","6.7","7.2"
"BEDROOMS","","","","","","",""
"    Total housing units","660,622","389,030","411,470","298,808","985,429","412,082","126,508"
"        No bedroom","25,712","9,283","5,203","7,220","28,457","6,141","908"
"        1 bedroom","89,848","44,730","39,063","41,566","189,876","41,049","6,228"
"        2 bedrooms","167,213","81,038","89,638","95,853","247,659","86,790","19,880"
"        3 bedrooms","203,040","113,340","160,373","112,151","350,288","110,624","39,934"
"        4 bedrooms","137,823","92,395","92,208","34,159","142,424","114,261","40,447"
"        5 or more bedrooms","36,986","48,244","24,985","7,859","26,725","53,217","19,111"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","633,786","371,458","382,638","274,187","905,250","392,822","120,559"
"        Owner-occupied","355,812","238,791","240,335","149,048","453,122","263,100","94,477"
"        Renter-occupied","277,974","132,667","142,303","125,139","452,128","129,722","26,082"
"    Average household size of owner-occupied unit","3.03","2.86","2.74","2.44","2.97","2.90","3.21"
"    Average household size of renter-occupied unit","2.88","2.63","2.41","2.36","2.60","2.86","2.71"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","",""
"    Occupied housing units","633,786","371,458","382,638","274,187","905,250","392,822","120,559"
"        Moved in 2015 or later","45,546","27,651","34,809","25,747","95,456","28,140","7,369"
