label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiamaleestimate,santa_clara_county_californiafemaleestimate,santa_clara_county_californiamedian_earnings_dollarsestimate,santa_clara_county_californiamedian_earnings_dollars_for_maleestimate,santa_clara_county_californiamedian_earnings_dollars_for_femaleestimate,montgomery_county_marylandtotalestimate,montgomery_county_marylandmaleestimate,montgomery_county_marylandfemaleestimate,montgomery_county_marylandmedian_earnings_dollarsestimate,montgomery_county_marylandmedian_earnings_dollars_for_maleestimate,montgomery_county_marylandmedian_earnings_dollars_for_femaleestimate,wake_county_north_carolinatotalestimate,wake_county_north_carolinamaleestimate,wake_county_north_carolinafemaleestimate,wake_county_north_carolinamedian_earnings_dollarsestimate,wake_county_north_carolinamedian_earnings_dollars_for_maleestimate,wake_county_north_carolinamedian_earnings_dollars_for_femaleestimate,davidson_county_tennesseetotalestimate,davidson_county_tennesseemaleestimate,davidson_county_tennesseefemaleestimate,davidson_county_tennesseemedian_earnings_dollarsestimate,davidson_county_tennesseemedian_earnings_dollars_for_maleestimate,davidson_county_tennesseemedian_earnings_dollars_for_femaleestimate,dallas_county_texastotalestimate,dallas_county_texasmaleestimate,dallas_county_texasfemaleestimate,dallas_county_texasmedian_earnings_dollarsestimate,dallas_county_texasmedian_earnings_dollars_for_maleestimate,dallas_county_texasmedian_earnings_dollars_for_femaleestimate,fairfax_county_virginiatotalestimate,fairfax_county_virginiamaleestimate,fairfax_county_virginiafemaleestimate,fairfax_county_virginiamedian_earnings_dollarsestimate,fairfax_county_virginiamedian_earnings_dollars_for_maleestimate,fairfax_county_virginiamedian_earnings_dollars_for_femaleestimate,loudoun_county_virginiatotalestimate,loudoun_county_virginiamaleestimate,loudoun_county_virginiafemaleestimate,loudoun_county_virginiamedian_earnings_dollarsestimate,loudoun_county_virginiamedian_earnings_dollars_for_maleestimate,loudoun_county_virginiamedian_earnings_dollars_for_femaleestimate
Civilian employed population 16 years and over,834009,55.30%,44.70%,47284,56137,40341,523864,51.30%,48.70%,48289,56201,40849,448710,52.90%,47.10%,37363,44269,32211,303923,51.30%,48.70%,30333,31828,27291,1107409,54.70%,45.30%,30349,31642,27335,582131,53.30%,46.70%,52626,65024,45389,169495,53.60%,46.40%,58059,79292,42929
Management business science and arts occupations:,420630,56.70%,43.30%,81420,99045,64600,291351,50.70%,49.30%,75777,91444,62085,220354,50.40%,49.60%,54180,67763,44639,113936,47.00%,53.00%,46176,52657,41712,360413,47.30%,52.70%,51824,61423,46719,319193,54.00%,46.00%,82816,100890,68152,95320,54.50%,45.50%,81377,102242,60917
Management business and financial occupations:,162960,55.00%,45.00%,88134,101985,70255,111924,53.40%,46.60%,81776,98769,69663,86935,55.30%,44.70%,60996,71205,51765,41248,52.30%,47.70%,53036,60998,46911,156591,50.30%,49.70%,56671,65778,50688,140171,55.50%,44.50%,91143,107126,76047,44427,58.60%,41.40%,97171,111621,67531
Management occupations,109687,61.60%,38.40%,100427,111920,78924,72606,57.40%,42.60%,91904,102519,76423,58091,61.00%,39.00%,69117,79571,59159,26506,57.00%,43.00%,60955,66060,53735,91165,56.70%,43.30%,61434,68298,54180,89303,59.80%,40.20%,101064,116319,81272,28539,65.20%,34.80%,101966,115078,72342
Business and financial operations occupations,53273,41.40%,58.60%,68967,88185,60581,39318,46.10%,53.90%,68581,73930,65848,28844,43.80%,56.20%,50924,55980,45676,14742,43.90%,56.10%,45196,50632,41444,65426,41.20%,58.80%,52073,61686,47130,50868,48.00%,52.00%,77133,91987,67042,15888,46.80%,53.20%,78162,105475,61629
Computer engineering and science occupations:,138899,77.00%,23.00%,96717,101041,80272,63595,67.70%,32.30%,85622,91686,76323,47702,73.40%,26.60%,72762,76987,58140,14540,70.70%,29.30%,53744,57266,50842,52779,72.50%,27.50%,63706,70003,55250,80328,74.00%,26.00%,96789,100533,91078,25798,74.40%,25.60%,100636,101884,91816
Computer and mathematical occupations,75272,76.50%,23.50%,100434,101876,85427,30770,70.30%,29.70%,87220,89038,83821,27180,75.50%,24.50%,77063,81290,69153,8323,72.90%,27.10%,59534,63384,55948,30952,72.50%,27.50%,68901,72847,56277,56250,71.70%,28.30%,94143,96355,91763,18459,73.70%,26.30%,102026,104123,99383
Architecture and engineering occupations,51228,83.00%,17.00%,97956,100858,75951,12897,80.40%,19.60%,88049,94108,68271,11469,84.10%,15.90%,70621,78469,54730,3408,91.00%,9.00%,54861,60059,41120,17071,79.50%,20.50%,59595,63966,49606,15051,81.50%,18.50%,100620,106034,81175,5733,85.20%,14.80%,94036,99261,66952
Life physical and social science occupations,12399,55.10%,44.90%,64275,72042,58955,19928,55.40%,44.60%,82163,95883,65663,9053,53.60%,46.40%,54078,58612,52611,2809,39.80%,60.20%,45594,46748,42301,4756,47.80%,52.20%,52309,55727,51202,9027,75.10%,24.90%,102136,110236,97021,1606,44.00%,56.00%,80112,100935,60882
Education legal community service arts and media occupations:,82427,37.60%,62.40%,45967,55347,41656,82828,41.40%,58.60%,57744,76894,50241,58287,36.00%,64.00%,37303,46818,32539,37720,45.10%,54.90%,32823,37952,29434,107475,37.80%,62.20%,44415,50033,41333,75650,37.90%,62.10%,58438,72402,51284,18470,31.70%,68.30%,50840,71132,40984
Community and social services occupations,10262,28.10%,71.90%,47639,53884,44002,8989,36.00%,64.00%,50379,50371,50385,9052,39.20%,60.80%,36829,35232,38486,5160,42.40%,57.60%,32754,36062,27579,12729,44.70%,55.30%,40287,40557,37489,8046,32.20%,67.80%,44456,50223,42164,2176,22.90%,77.10%,59593,85719,51929
Legal occupations,10473,52.10%,47.90%,93836,141075,72384,17880,59.80%,40.20%,128188,146929,105191,7039,40.20%,59.80%,61016,105163,44602,3691,56.00%,44.00%,49876,122101,41398,17579,46.60%,53.40%,72424,120757,52799,20167,57.00%,43.00%,111504,122157,101117,1698,50.90%,49.10%,94458,128877,44595
Education training and library occupations,44847,32.10%,67.90%,40509,45512,36639,37411,30.50%,69.50%,47193,56900,40902,31055,26.90%,73.10%,33297,42323,29337,18774,30.90%,69.10%,31244,37406,30297,55265,25.80%,74.20%,42441,48399,40931,33158,23.70%,76.30%,47395,55562,40535,9810,20.30%,79.70%,40663,55150,34583
Arts design entertainment sports and media occupations,16845,49.30%,50.70%,46653,53075,38980,18548,48.10%,51.90%,51578,60603,47367,11141,56.00%,44.00%,39901,48079,12441,10095,68.90%,31.10%,28528,31680,26033,21902,57.00%,43.00%,40222,42000,36315,14279,47.00%,53.00%,56328,56009,56596,4786,52.10%,47.90%,61063,70268,51138
Healthcare practitioner and technical occupations:,36344,29.60%,70.40%,80630,89660,77367,33004,31.80%,68.20%,68512,91796,60682,27430,25.60%,74.40%,51832,69049,47824,20428,23.10%,76.90%,50905,82426,47637,43568,29.40%,70.60%,51904,61460,47801,23044,28.50%,71.50%,70736,121867,61830,6625,12.70%,87.30%,58104,62011,57841
Health diagnosing and treating practitioners and other technical occupations,28191,29.90%,70.10%,91512,102074,90315,26199,30.90%,69.10%,77213,118187,66330,19183,26.70%,73.30%,60423,93775,55828,14434,25.10%,74.90%,60354,131454,52982,29217,31.20%,68.80%,61860,90185,59147,18852,31.10%,68.90%,81371,145696,70200,4153,11.80%,88.20%,65354,125161,62853
Health technologists and technicians,8153,28.50%,71.50%,51137,49304,51439,6805,35.20%,64.80%,43691,45786,40390,8247,23.10%,76.90%,37141,45735,36469,5994,18.50%,81.50%,30812,37617,30053,14351,25.60%,74.40%,31775,41026,30655,4192,16.60%,83.40%,36052,26856,36510,2472,14.20%,85.80%,42156,31305,48211
Service occupations:,118361,45.50%,54.50%,19094,21586,16382,78315,42.70%,57.30%,19543,22575,16312,62559,46.10%,53.90%,16429,21207,13926,56016,43.70%,56.30%,17170,20358,15641,191738,46.80%,53.20%,16489,20342,13651,91713,45.60%,54.40%,21884,26280,20149,19860,49.40%,50.60%,23825,28810,19104
Healthcare support occupations,12390,16.50%,83.50%,27396,25785,30182,7193,21.30%,78.70%,25068,37352,23004,6139,10.00%,90.00%,20505,27464,20018,5526,7.90%,92.10%,25678,23585,25857,20631,14.60%,85.40%,22176,30579,21507,6501,18.40%,81.60%,28402,33902,27816,1077,10.90%,89.10%,21239,-,21857
Protective service occupations:,8962,75.30%,24.70%,35651,34611,37682,8085,74.40%,25.60%,30569,30756,30040,7593,68.60%,31.40%,41384,43873,33718,5832,67.20%,32.80%,27824,30231,21178,16867,71.70%,28.30%,32396,33115,31348,11419,75.10%,24.90%,75364,77770,68768,3405,81.10%,18.90%,80875,85404,73949
Fire fighting and prevention and other protective service workers including supervisors,6879,77.50%,22.50%,26320,27832,20640,6058,73.40%,26.60%,25339,25962,11966,4047,66.30%,33.70%,36485,41950,33268,3481,68.10%,31.90%,13299,14260,7115,9849,73.40%,26.60%,26142,26487,25141,6811,76.40%,23.60%,62364,61239,68891,1965,79.90%,20.10%,64240,63376,80230
Law enforcement workers including supervisors,2083,68.20%,31.80%,81303,86729,76514,2027,77.70%,22.30%,85689,81707,86520,3546,71.20%,28.80%,44313,44759,34803,2351,66.00%,34.00%,34863,40094,33630,7018,69.20%,30.80%,41603,46711,38324,4608,73.10%,26.90%,86826,91042,68732,1440,82.60%,17.40%,86309,86632,73225
Food preparation and serving related occupations,36678,51.70%,48.30%,15834,19512,12300,23174,53.50%,46.50%,17763,19370,15872,22073,50.50%,49.50%,11963,14165,10814,20919,47.00%,53.00%,15911,18476,13275,64498,52.10%,47.90%,14676,17432,12018,32089,54.70%,45.30%,17248,21073,15369,6618,41.80%,58.20%,18055,21102,15617
Building and grounds cleaning and maintenance occupations,27886,64.90%,35.10%,20583,24392,16008,18791,44.40%,55.60%,17263,21031,15530,13501,62.10%,37.90%,17081,21546,12640,12280,58.10%,41.90%,15914,20139,13604,58409,56.90%,43.10%,16058,18686,12258,21944,51.20%,48.80%,25144,26033,21499,3994,63.00%,37.00%,28623,29139,21882
Personal care and service occupations,32445,24.50%,75.50%,15976,19442,14956,21072,24.60%,75.40%,18800,31439,16335,13253,26.20%,73.80%,11995,11485,12229,11459,27.40%,72.60%,15375,21971,11856,31333,24.70%,75.30%,13576,20153,12533,19760,16.80%,83.20%,19582,19308,19647,4766,34.50%,65.50%,12196,21188,11010
Sales and office occupations:,175131,39.20%,60.80%,31999,37016,29743,100347,39.50%,60.50%,32799,40776,30654,109051,44.30%,55.70%,30877,36656,27481,81490,40.90%,59.10%,27170,30852,25919,280276,39.30%,60.70%,27819,32043,25578,111965,38.90%,61.10%,36732,43651,32393,37778,41.20%,58.80%,37158,50515,31736
Sales and related occupations,82848,49.90%,50.10%,26978,40823,19585,42679,52.10%,47.90%,30693,45713,17381,58293,55.90%,44.10%,30687,40348,20852,34087,54.10%,45.90%,30609,35561,22248,118316,51.30%,48.70%,25806,36424,18241,49077,50.80%,49.20%,30405,45517,16509,17342,49.70%,50.30%,31324,60674,19598
Office and administrative support occupations,92283,29.50%,70.50%,35633,31575,36379,57668,30.20%,69.80%,34525,36605,34050,50758,30.80%,69.20%,31026,31558,30768,47403,31.40%,68.60%,26485,26222,26602,161960,30.40%,69.60%,28901,30266,28371,62888,29.60%,70.40%,40650,42162,40034,20436,34.00%,66.00%,38468,42981,37416
