"Label (Grouping)","Santa Clara County, California!!Households!!Estimate","Santa Clara County, California!!Households!!Margin of Error","Santa Clara County, California!!Families!!Estimate","Santa Clara County, California!!Families!!Margin of Error","Santa Clara County, California!!Married-couple families!!Estimate","Santa Clara County, California!!Married-couple families!!Margin of Error","Santa Clara County, California!!Nonfamily households!!Estimate","Santa Clara County, California!!Nonfamily households!!Margin of Error","Montgomery County, Maryland!!Households!!Estimate","Montgomery County, Maryland!!Households!!Margin of Error","Montgomery County, Maryland!!Families!!Estimate","Montgomery County, Maryland!!Families!!Margin of Error","Montgomery County, Maryland!!Married-couple families!!Estimate","Montgomery County, Maryland!!Married-couple families!!Margin of Error","Montgomery County, Maryland!!Nonfamily households!!Estimate","Montgomery County, Maryland!!Nonfamily households!!Margin of Error","Wake County, North Carolina!!Households!!Estimate","Wake County, North Carolina!!Households!!Margin of Error","Wake County, North Carolina!!Families!!Estimate","Wake County, North Carolina!!Families!!Margin of Error","Wake County, North Carolina!!Married-couple families!!Estimate","Wake County, North Carolina!!Married-couple families!!Margin of Error","Wake County, North Carolina!!Nonfamily households!!Estimate","Wake County, North Carolina!!Nonfamily households!!Margin of Error","Davidson County, Tennessee!!Households!!Estimate","Davidson County, Tennessee!!Households!!Margin of Error","Davidson County, Tennessee!!Families!!Estimate","Davidson County, Tennessee!!Families!!Margin of Error","Davidson County, Tennessee!!Married-couple families!!Estimate","Davidson County, Tennessee!!Married-couple families!!Margin of Error","Davidson County, Tennessee!!Nonfamily households!!Estimate","Davidson County, Tennessee!!Nonfamily households!!Margin of Error","Dallas County, Texas!!Households!!Estimate","Dallas County, Texas!!Households!!Margin of Error","Dallas County, Texas!!Families!!Estimate","Dallas County, Texas!!Families!!Margin of Error","Dallas County, Texas!!Married-couple families!!Estimate","Dallas County, Texas!!Married-couple families!!Margin of Error","Dallas County, Texas!!Nonfamily households!!Estimate","Dallas County, Texas!!Nonfamily households!!Margin of Error","Fairfax County, Virginia!!Households!!Estimate","Fairfax County, Virginia!!Households!!Margin of Error","Fairfax County, Virginia!!Families!!Estimate","Fairfax County, Virginia!!Families!!Margin of Error","Fairfax County, Virginia!!Married-couple families!!Estimate","Fairfax County, Virginia!!Married-couple families!!Margin of Error","Fairfax County, Virginia!!Nonfamily households!!Estimate","Fairfax County, Virginia!!Nonfamily households!!Margin of Error","Loudoun County, Virginia!!Households!!Estimate","Loudoun County, Virginia!!Households!!Margin of Error","Loudoun County, Virginia!!Families!!Estimate","Loudoun County, Virginia!!Families!!Margin of Error","Loudoun County, Virginia!!Married-couple families!!Estimate","Loudoun County, Virginia!!Married-couple families!!Margin of Error","Loudoun County, Virginia!!Nonfamily households!!Estimate","Loudoun County, Virginia!!Nonfamily households!!Margin of Error"
"Total","599,235","±3,770","424,866","±6,035","331,398","±6,651","174,369","±5,695","359,476","±2,836","245,528","±4,685","188,849","±4,624","113,948","±4,721","338,054","±3,843","221,603","±4,794","170,582","±4,976","116,451","±4,447","249,899","±3,777","141,442","±4,207","90,136","±3,637","108,457","±4,343","843,416","±4,626","548,239","±6,979","361,936","±7,009","295,177","±6,620","389,415","±3,502","273,016","±5,562","219,941","±5,200","116,399","±4,593","102,979","±2,217","82,632","±2,336","67,195","±2,539","20,347","±2,196"
"Less than $10,000","4.5%","±0.5","2.9%","±0.4","1.5%","±0.3","9.5%","±1.2","4.3%","±0.6","2.5%","±0.6","0.5%","±0.3","9.1%","±1.4","4.7%","±0.6","3.0%","±0.6","1.3%","±0.6","8.7%","±1.4","9.6%","±1.0","7.5%","±1.1","2.6%","±1.1","13.2%","±1.8","7.2%","±0.5","5.7%","±0.6","1.7%","±0.3","12.0%","±0.9","3.2%","±0.5","1.8%","±0.5","0.7%","±0.3","6.9%","±1.3","1.3%","±0.6","0.9%","±0.5","0.2%","±0.2","3.5%","±2.1"
"$10,000 to $14,999","3.1%","±0.4","1.8%","±0.4","1.0%","±0.3","7.3%","±1.1","2.4%","±0.5","1.3%","±0.5","0.6%","±0.3","4.9%","±1.1","4.3%","±0.6","3.6%","±0.8","1.7%","±0.5","6.6%","±1.2","7.8%","±0.8","5.5%","±1.1","1.7%","±0.6","11.8%","±1.8","5.6%","±0.4","4.4%","±0.4","2.2%","±0.4","8.7%","±1.0","1.1%","±0.3","0.7%","±0.3","0.4%","±0.3","2.4%","±0.8","0.9%","±0.4","0.8%","±0.5","0.7%","±0.5","2.2%","±1.2"
"$15,000 to $24,999","7.0%","±0.5","5.7%","±0.5","4.3%","±0.5","11.5%","±1.3","5.1%","±0.6","3.7%","±0.6","2.2%","±0.6","9.4%","±1.4","9.3%","±0.8","6.8%","±0.9","3.7%","±0.8","14.9%","±1.6","11.6%","±1.1","8.9%","±1.1","5.4%","±1.2","15.6%","±1.9","12.6%","±0.6","11.9%","±0.8","8.6%","±0.8","14.9%","±1.1","4.1%","±0.6","3.2%","±0.7","2.2%","±0.6","6.7%","±1.1","2.6%","±0.7","1.8%","±0.7","1.1%","±0.7","6.3%","±2.4"
"$25,000 to $34,999","6.1%","±0.5","5.6%","±0.5","4.4%","±0.6","8.3%","±1.1","6.0%","±0.6","4.7%","±0.7","3.0%","±0.6","8.6%","±1.2","9.1%","±1.0","6.8%","±0.9","4.5%","±0.9","13.5%","±1.9","11.4%","±1.0","10.5%","±1.5","7.3%","±1.3","12.7%","±1.5","12.1%","±0.6","11.5%","±0.8","9.5%","±0.8","13.5%","±1.0","4.1%","±0.5","3.9%","±0.7","2.1%","±0.5","6.0%","±1.2","2.3%","±0.7","1.8%","±0.8","1.1%","±0.8","5.2%","±2.2"
"$35,000 to $49,999","10.2%","±0.7","9.9%","±0.7","8.3%","±0.8","11.1%","±1.2","8.7%","±0.8","7.5%","±0.9","5.7%","±1.0","13.2%","±1.5","13.3%","±1.1","9.8%","±1.1","8.2%","±1.1","19.6%","±2.3","16.5%","±1.3","15.5%","±1.6","14.9%","±2.1","17.1%","±1.8","14.9%","±0.6","14.0%","±0.9","13.0%","±0.9","15.8%","±1.2","7.7%","±0.7","7.0%","±0.9","5.1%","±0.9","10.8%","±1.5","6.4%","±1.3","5.3%","±1.4","3.7%","±1.4","10.4%","±2.9"
"$50,000 to $74,999","13.7%","±0.7","13.4%","±0.9","12.1%","±0.9","14.5%","±1.3","15.7%","±1.0","13.5%","±1.1","11.0%","±1.1","19.8%","±1.8","18.9%","±1.0","18.5%","±1.3","18.2%","±1.5","18.8%","±1.8","18.5%","±1.1","19.6%","±1.6","21.8%","±1.8","16.4%","±2.0","18.4%","±0.8","18.3%","±0.9","19.7%","±1.1","16.9%","±1.0","14.4%","±0.9","12.1%","±0.9","9.8%","±1.0","20.2%","±2.2","13.1%","±1.8","10.1%","±1.8","7.2%","±1.7","26.3%","±5.0"
"$75,000 to $99,999","12.0%","±0.7","11.7%","±0.9","11.7%","±1.0","11.3%","±1.1","12.3%","±0.8","12.0%","±1.0","11.8%","±1.2","12.0%","±1.6","13.3%","±1.1","15.6%","±1.5","18.2%","±1.7","8.0%","±1.3","9.6%","±0.8","11.2%","±1.3","14.9%","±1.9","6.8%","±1.1","10.9%","±0.6","12.2%","±0.7","15.2%","±0.9","7.9%","±0.9","12.8%","±1.0","11.2%","±1.0","10.9%","±1.2","16.4%","±2.0","11.7%","±1.8","13.1%","±2.2","11.4%","±1.9","10.7%","±3.8"
"$100,000 to $149,999","19.1%","±0.8","20.6%","±1.0","22.3%","±1.2","14.2%","±1.2","19.4%","±1.2","21.0%","±1.4","23.6%","±1.6","14.5%","±1.9","15.2%","±1.0","19.3%","±1.2","23.5%","±1.5","6.8%","±1.2","7.9%","±0.8","10.8%","±1.2","15.6%","±1.9","3.8%","±0.9","10.3%","±0.5","12.4%","±0.7","16.4%","±1.0","5.6%","±0.6","20.9%","±1.1","20.7%","±1.1","22.4%","±1.2","19.1%","±1.9","27.6%","±2.5","27.0%","±2.8","29.8%","±3.2","23.5%","±5.1"
"$150,000 to $199,999","11.2%","±0.6","12.8%","±0.7","15.2%","±0.9","6.6%","±1.1","11.2%","±0.7","13.9%","±1.1","16.8%","±1.3","5.0%","±1.0","6.1%","±0.6","8.5%","±0.9","10.7%","±1.1","1.4%","±0.5","3.0%","±0.5","4.1%","±0.7","5.9%","±1.1","1.4%","±0.6","3.7%","±0.4","4.3%","±0.4","6.2%","±0.6","2.4%","±0.5","14.0%","±0.9","16.6%","±1.2","19.2%","±1.4","6.6%","±0.9","16.2%","±1.7","18.8%","±2.2","21.4%","±2.7","6.0%","±2.9"
