label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error
Total population,17876.94,*****,8966.47,671,8910.47,671,9762.03,*****,4689.14,443,5072.89,443,9069.69,*****,4417.75,270,4651.94,270,6281.33,*****,3038.22,775,3243.11,775,23773.51,*****,11760.82,349,12012.69,349,10867.43,*****,5367.95,311,5499.48,311,3151.34,*****,1555.14,582,1596.2,582
AGE,0.07500000000000001,N/A,0.0735,N/A,0.07150000000000001,N/A,0.069,N/A,0.07,N/A,0.0695,N/A,0.07550000000000001,N/A,0.076,N/A,0.07200000000000001,N/A,0.071,N/A,0.07200000000000001,N/A,0.0675,N/A,0.07550000000000001,N/A,0.0755,N/A,0.072,N/A,0.07400000000000001,N/A,0.07250000000000001,N/A,0.073,N/A,0.0785,N/A,0.0685,N/A,0.0745,N/A
    Under 5 years,0.07,0.1,0.071,0.1,0.068,0.1,0.065,0.1,0.07,0.1,0.061,0.1,0.073,0.1,0.076,0.1,0.07,0.1,0.071,0.1,0.075,0.1,0.067,0.1,0.081,0.1,0.084,0.1,0.078,0.1,0.067,0.1,0.07,0.1,0.065,0.1,0.08900000000000001,0.1,0.091,0.1,0.087,0.2
    5 to 9 years,0.068,0.2,0.067,0.3,0.068,0.3,0.065,0.3,0.066,0.5,0.063,0.4,0.073,0.3,0.076,0.5,0.07,0.5,0.059000000000000004,0.3,0.057999999999999996,0.5,0.059000000000000004,0.5,0.077,0.2,0.08,0.3,0.073,0.3,0.068,0.3,0.071,0.4,0.065,0.4,0.09300000000000001,0.5,0.094,0.8,0.09300000000000001,0.8
    10 to 14 years,0.065,0.2,0.068,0.4,0.062,0.3,0.068,0.3,0.07400000000000001,0.5,0.063,0.4,0.073,0.3,0.077,0.5,0.07,0.5,0.055999999999999994,0.3,0.061,0.5,0.05,0.5,0.07400000000000001,0.2,0.076,0.3,0.073,0.3,0.066,0.3,0.068,0.4,0.064,0.4,0.08,0.5,0.084,0.8,0.076,0.8
    15 to 19 years,0.064,0.1,0.066,0.1,0.062,0.1,0.061,0.1,0.066,0.1,0.055999999999999994,0.1,0.07,0.2,0.071,0.1,0.068,0.5,0.063,0.1,0.068,0.3,0.057999999999999996,0.2,0.071,0.1,0.07400000000000001,0.1,0.068,0.1,0.062,0.1,0.065,0.1,0.057999999999999996,0.1,0.061,0.2,0.062,0.4,0.059000000000000004,0.4
    20 to 24 years,0.064,0.1,0.069,0.1,0.06,0.1,0.055999999999999994,0.1,0.057999999999999996,0.1,0.053,0.1,0.068,0.3,0.073,0.1,0.063,0.5,0.086,0.1,0.083,0.3,0.09,0.1,0.073,0.1,0.075,0.1,0.071,0.1,0.055999999999999994,0.1,0.057999999999999996,0.1,0.053,0.1,0.042,0.2,0.046,0.4,0.039,0.3
    25 to 29 years,0.07400000000000001,0.1,0.076,0.1,0.073,0.1,0.068,0.1,0.07,0.1,0.067,0.1,0.07400000000000001,0.1,0.075,0.1,0.07400000000000001,0.1,0.098,0.1,0.098,0.1,0.09699999999999999,0.1,0.083,0.1,0.085,0.1,0.08199999999999999,0.1,0.07400000000000001,0.1,0.075,0.1,0.073,0.1,0.059000000000000004,0.2,0.057,0.3,0.061,0.2
    30 to 34 years,0.076,0.1,0.078,0.1,0.075,0.1,0.068,0.1,0.068,0.1,0.069,0.1,0.079,0.1,0.078,0.1,0.079,0.1,0.083,0.1,0.086,0.1,0.08,0.1,0.079,0.1,0.08,0.1,0.078,0.1,0.073,0.1,0.07400000000000001,0.1,0.073,0.1,0.077,0.2,0.073,0.3,0.08199999999999999,0.3
    35 to 39 years,0.078,0.3,0.08,0.4,0.076,0.3,0.069,0.3,0.068,0.5,0.069,0.5,0.081,0.4,0.081,0.5,0.081,0.5,0.071,0.4,0.07,0.6,0.07200000000000001,0.5,0.07400000000000001,0.2,0.077,0.3,0.071,0.3,0.07400000000000001,0.3,0.07,0.5,0.077,0.4,0.098,0.6,0.095,0.8,0.102,0.8
