"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Percent Female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Percent Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Percent Female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Percent Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Percent Female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Percent Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Percent Female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Percent Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Percent Female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Percent Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Percent Female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Percent Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","967,374","538,173","55.6%","429,201","44.4%","555,886","286,622","51.6%","269,264","48.4%","528,812","280,575","53.1%","248,237","46.9%","363,716","187,534","51.6%","176,182","48.4%","1,254,419","684,743","54.6%","569,676","45.4%","613,246","326,241","53.2%","287,005","46.8%","203,967","109,953","53.9%","94,014","46.1%"
"Agriculture, forestry, fishing and hunting, and mining:","4,906","3,250","66.2%","1,656","33.8%","1,102","683","62.0%","419","38.0%","1,789","1,409","78.8%","380","21.2%","337","290","86.1%","47","13.9%","11,162","7,660","68.6%","3,502","31.4%","1,608","843","52.4%","765","47.6%","1,150","506","44.0%","644","56.0%"
"    Agriculture, forestry, fishing and hunting","4,724","3,137","66.4%","1,587","33.6%","1,083","683","63.1%","400","36.9%","1,542","1,275","82.7%","267","17.3%","269","269","100.0%","0","0.0%","3,449","2,575","74.7%","874","25.3%","1,169","552","47.2%","617","52.8%","1,098","454","41.3%","644","58.7%"
"    Mining, quarrying, and oil and gas extraction","182","113","62.1%","69","37.9%","19","0","0.0%","19","100.0%","247","134","54.3%","113","45.7%","68","21","30.9%","47","69.1%","7,713","5,085","65.9%","2,628","34.1%","439","291","66.3%","148","33.7%","52","52","100.0%","0","0.0%"
"Construction","49,912","45,615","91.4%","4,297","8.6%","32,205","29,505","91.6%","2,700","8.4%","34,734","30,547","87.9%","4,187","12.1%","20,138","18,761","93.2%","1,377","6.8%","121,330","115,052","94.8%","6,278","5.2%","32,479","28,917","89.0%","3,562","11.0%","10,533","8,606","81.7%","1,927","18.3%"
"Manufacturing","171,575","118,873","69.3%","52,702","30.7%","16,643","11,900","71.5%","4,743","28.5%","41,230","29,120","70.6%","12,110","29.4%","27,285","17,462","64.0%","9,823","36.0%","108,286","75,090","69.3%","33,196","30.7%","15,531","10,622","68.4%","4,909","31.6%","7,904","4,931","62.4%","2,973","37.6%"
"Wholesale trade","17,620","11,762","66.8%","5,858","33.2%","6,549","4,602","70.3%","1,947","29.7%","13,765","10,365","75.3%","3,400","24.7%","8,626","6,317","73.2%","2,309","26.8%","37,050","24,952","67.3%","12,098","32.7%","6,583","4,796","72.9%","1,787","27.1%","2,956","2,445","82.7%","511","17.3%"
"Retail trade","84,976","45,852","54.0%","39,124","46.0%","43,844","22,808","52.0%","21,036","48.0%","56,269","31,115","55.3%","25,154","44.7%","39,943","22,080","55.3%","17,863","44.7%","135,246","67,613","50.0%","67,633","50.0%","47,151","25,877","54.9%","21,274","45.1%","17,673","9,698","54.9%","7,975","45.1%"
"Transportation and warehousing, and utilities:","27,376","21,343","78.0%","6,033","22.0%","16,046","12,877","80.3%","3,169","19.7%","19,497","12,889","66.1%","6,608","33.9%","17,904","14,370","80.3%","3,534","19.7%","79,224","59,279","74.8%","19,945","25.2%","17,474","13,525","77.4%","3,949","22.6%","8,776","6,536","74.5%","2,240","25.5%"
"    Transportation and warehousing","22,759","17,700","77.8%","5,059","22.2%","14,600","11,863","81.3%","2,737","18.7%","16,361","10,728","65.6%","5,633","34.4%","15,929","12,833","80.6%","3,096","19.4%","72,325","54,904","75.9%","17,421","24.1%","15,977","12,429","77.8%","3,548","22.2%","7,820","5,812","74.3%","2,008","25.7%"
"    Utilities","4,617","3,643","78.9%","974","21.1%","1,446","1,014","70.1%","432","29.9%","3,136","2,161","68.9%","975","31.1%","1,975","1,537","77.8%","438","22.2%","6,899","4,375","63.4%","2,524","36.6%","1,497","1,096","73.2%","401","26.8%","956","724","75.7%","232","24.3%"
"Information","46,197","29,930","64.8%","16,267","35.2%","14,325","8,450","59.0%","5,875","41.0%","18,882","12,534","66.4%","6,348","33.6%","9,442","5,095","54.0%","4,347","46.0%","33,309","20,283","60.9%","13,026","39.1%","16,254","9,302","57.2%","6,952","42.8%","8,955","5,973","66.7%","2,982","33.3%"
